word                  freq        P(word|ham)                     P(word|spam)               classification

a                     662116923   0.005252440800474675            0.010892442002662046       SPAM
about                 552615      0.0004382652786018663           0.0003961531629177469      HAM
above                 68118       5.433696214339881e-05           7.626994282006987e-05      SPAM
after                 165217      0.00013128127349974457          0.00013998913555582444     SPAM
again                 105140      8.368685410406678e-05           9.042976342801533e-05      SPAM
against               9138        7.258148957840863e-05           2.4779686063904558e-05     HAM
ain                   92          7.535783070982317e-06           1.6090705236301661e-06     HAM
all                   6811471     0.0005405932803025736           0.0009470989102087157      SPAM
am                    294500      0.00023360927520045183          0.00032213591883075923     SPAM
an                    703915      0.0005580445674143221           0.0005892416257533668      SPAM
and                   40717357    0.003229677976158369            0.004735494551043579       SPAM
any                   482615      0.00038273845597357555          0.0003961531629177469      SPAM
are                   11732200    0.0009308675193471315           0.0014163038748992722      SPAM
aren                  3014        2.4193829859469544e-05          9.332609037054963e-06      HAM
as                    12901400    0.0010236766371687033           0.000901401307337619       HAM
at                    11691296    0.0009276945580540863           0.0008344639735546041      HAM
be                    19572554    0.0015527679327839879           0.0016441482610453037      SPAM
because               235306      0.00018680809612803533          0.00019727204619705835     SPAM
been                  393394      0.0003121400672033202           0.00025391132862884023     HAM
before                175176      0.00013921367673235755          0.00011360037896828973     HAM
being                 187144      0.0001487325606114931           9.30042762658236e-05       HAM
below                 27468       2.1814108889685654e-05          0.0003015398161282931      SPAM
between               8358        6.623556699231825e-05           3.765225025294589e-05      HAM
both                  95134       7.575445087145381e-05           8.656799417130294e-05      SPAM
but                   1145451     0.0009086567902958152           0.000290598136567608       HAM
by                    78615536    0.0062360588013186825           0.003563447581631366       HAM
can                   8931387     0.0007087602288339685           0.0008930341406147422      SPAM
cc                    4751683     0.0003771857737107465           0.0010835480906125539      SPAM
couldn                2511        2.0227628243163063e-05          7.401724408698764e-06      HAM
couldnt               40          3.5695814546758344e-06          3.2181410472603324e-07     HAM
d                     201129757   0.001595602910240098            0.019152766442769868       SPAM
did                   145105      0.00011541646703451865          6.790277609719301e-05      HAM
didn                  9538        7.575445087145381e-05           2.4779686063904558e-05     HAM
didnt                 40          3.5695814546758344e-06          3.2181410472603324e-07     HAM
do                    7591028     0.0006024660255169547           0.0006619716134214504      SPAM
does                  266261      0.00021139854614913553          0.00016830877677171538     HAM
doesn                 17363       0.00013762719608583494          4.087039130020622e-05      HAM
doesnt                77          5.949302424459724e-06           4.827211570890498e-06      HAM
doing                 12170       9.637869927624753e-05           4.5375788766370685e-05     HAM
don                   435430      0.00034545616078029463          0.0002770819441691146      HAM
dont                  339         2.6573550829253433e-05          6.114467989794631e-06      HAM
down                  135167      0.00010748406380190568          0.00010780772508322113     SPAM
during                3157        2.4987070182730843e-05          3.700862204349382e-05      SPAM
each                  120316      9.558545895298624e-05           0.00020370832829157902     SPAM
few                   135150      0.00010748406380190568          9.6866045522536e-05        HAM
for                   76127140    0.00603854196082662             0.004595827229592481       HAM
from                  102007844   0.008091447917426855            0.005048941489046735       HAM
further               33126       2.6573550829253433e-05          8.14189684956864e-05       SPAM
had                   296200      0.00023519575584697442          0.00012904745599513933     HAM
hadn                  94          7.535783070982317e-06           2.896326942534299e-06      HAM
has                   602502      0.00047792729476493117          0.0003234231752496634      HAM
hasn                  93          7.535783070982317e-06           2.2526987330822325e-06     HAM
hasnt                 10          1.1898604848919448e-06          3.2181410472603324e-07     HAM
have                  13921751    0.0011045871501413555           0.0011273148088552943      SPAM
haven                 5147        4.0851876647956774e-05          3.057233994897316e-05      HAM
having                11780       9.320573798320234e-05           5.181207086089135e-05      HAM
he                    271158      0.00021536474776544202          0.00010201507119815254     HAM
her                   3682        2.8953271799037323e-05          5.309932727979548e-05      SPAM
here                  2301195     0.00018284189451172884          0.0007694575243999454      SPAM
him                   6434        5.116400085035363e-05           2.220517322609629e-05      HAM
himself               11          1.1898604848919448e-06          9.654423141780996e-07      HAM
his                   163148      0.00012969479285322198          9.557878910363187e-05      HAM
how                   371642      0.00029468878009157167          0.00041353112457295267     SPAM
i                     45974481    0.003646922386193811            0.002884419820659436       HAM
if                    10581592    0.0008396448821720824           0.0010249779235524158      SPAM
in                    32024474    0.0025403521352443024           0.002879914423193271       SPAM
into                  291306      0.00023122955423066793          0.00019727204619705835     HAM
is                    31343713    0.002486411793262534            0.0023901133558002488      HAM
isn                   9623        7.654769119471512e-05           1.5125262922123562e-05     HAM
isnt                  50          4.362821777937131e-06           3.2181410472603324e-07     HAM
it                    30342268    0.002407087760936404            0.0014600705931420127      HAM
its                   313154      0.00024868084134241646          9.944055836034426e-05      HAM
itself                5614        4.481807826426325e-05           9.332609037054963e-06      HAM
just                  602662      0.00047792729476493117          0.000426403688761994       HAM
ll                    222226      0.00017649597192563848          0.00014578178944089305     HAM
m                     7821013     0.0006207105529519645           0.0006523171902796693      SPAM
ma                    1651        1.3088465333811393e-05          3.314685278678142e-05      SPAM
me                    378582      0.0003002414623544007           0.00037491343200582867     SPAM
more                  5031049     0.0003993965027620628           0.0006754878058199438      SPAM
most                  230348      0.00018284189451172884          0.00022430443099404515     SPAM
my                    808849      0.0006413348013567582           0.0005467621639295304      HAM
myself                2621        2.102086856642436e-05           1.3838006503219428e-05     HAM
no                    5021317     0.0003986032624388015           0.0008479801659530975      SPAM
nor                   2917        2.340058953620825e-05           1.1263493665411163e-05     HAM
not                   12001496    0.0009522850080751864           0.0009631896154450175      SPAM
now                   462852      0.00036687364950834965          0.0005486930485578866      SPAM
o                     3661323     0.0002907225784752652           0.00085184193520981        SPAM
of                    44895923    0.0035612524312815907           0.0038125316986893157      SPAM
off                   139174      0.00011065702509495086          0.00011231312254938559     SPAM
on                    21142392    0.0016773066635360114           0.0015398804911140689      HAM
once                  87131       6.940852828536345e-05           8.463710954294673e-05      SPAM
only                  402791      0.00031927923011267187          0.0005094317277813106      SPAM
or                    10542267    0.0008364719208790372           0.0014594269649325607      SPAM
other                 389392      0.000308967105910275            0.00025262407220993607     HAM
our                   1701896     0.00013524747511605106          0.001220640899225844       SPAM
ours                  23          1.9831008081532415e-06          2.2526987330822325e-06     SPAM
ourselves             219         1.9831008081532415e-06          1.2550750084315296e-05     SPAM
out                   5321024     0.0004224004721366404           0.000659397100583642       SPAM
over                  210500      0.00016697708804650293          0.00032213591883075923     SPAM
own                   127294      0.0001011381412158153           0.00018954850768363357     SPAM
precedence            994169      0.0007888775014833594           0.00010909498150212526     HAM
re                    1175269     0.000932453999993654            0.0001734578024473319      HAM
received              70044126    0.005556251844283751            0.0026559318063039523      HAM
references            4986        0.00039543030114575634          4.183583361438432e-06      HAM
s                     19782329    0.0015694259795724752           0.0014993319139185888      HAM
same                  178152      0.00014159339770214143          9.815330194144013e-05      HAM
shan                  10          1.1898604848919448e-06          3.2181410472603324e-07     HAM
she                   3741        2.9746512122298622e-05          2.6710570692260755e-05     HAM
shes                  10          1.1898604848919448e-06          3.2181410472603324e-07     HAM
should                297165      0.00023598899617023573          0.000106520468664317       HAM
shouldn               135         1.0708744364027503e-05          3.5399551519863652e-06     HAM
so                    794573      0.0006302294368311001           0.0003691207781207601      HAM
some                  513242      0.00040732890599467575          0.0001560798407921261      HAM
subject               26231740    0.0020810659880760116           0.0011202348985513216      HAM
such                  129120      0.0001027246218623379           7.755719923897401e-05      HAM
t                     14611634    0.001159320732446385            0.0010520103083494026      HAM
than                  422387      0.0003351440365778978           0.00024940593116267574     HAM
that                  31582111    0.002505449561020805            0.0013590209642580383      HAM
the                   986010329   0.007821746207518014            0.00664835758953512        HAM
their                 342387      0.0002716848107169941           0.00024940593116267574     HAM
theirs                44          3.5695814546758344e-06          2.896326942534299e-06      HAM
them                  338434      0.00026851184942394885          0.00027965645700692284     SPAM
themselves            2716        2.1814108889685654e-05          1.0619865455959097e-05     HAM
then                  393335      0.0003121400672033202           0.0002159372642711683      HAM
there                 691438      0.0005485256835351866           0.0002822309698447311      HAM
these                 229404      0.00018204865418846756          0.00026034761072336085     SPAM
they                  752572      0.0005969133432541257           0.000368477149911308       HAM
this                  16353643    0.0012973445486938505           0.002345059381138604       SPAM
those                 195210      0.00015507848319758346          0.00013548373808966        HAM
through               175226      0.00013921367673235755          0.00014578178944089305     SPAM
to                    1086112730  0.008615779771102573            0.008193708920429532       HAM
too                   127119      0.0001011381412158153           7.691357102952194e-05      HAM
under                 143106      0.00011382998638799605          6.854640430664508e-05      HAM
until                 8779        6.940852828536345e-05           5.116844265143928e-05      HAM
up                    469709      0.0003724263317711787           0.0004566542146062411      SPAM
ve                    363197      0.0002883428575054813           0.00012711657136678313     HAM
very                  218298      0.0001733230106325933           0.00019212302052144182     SPAM
was                   833506      0.0006611658094382907           0.0003259976880874717      HAM
wasn                  357         2.8160031475776028e-05          4.827211570890498e-06      HAM
